seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
4,10,0.8,ws_p_0.0,0.720386,0.0392959,0.643368,0.797405,2.77259,-2.0522,false,false,scipy_anchored_t2,true,0.00229936,0.995005,0.038784,1,1,0,3.075,1,1,0,1.041,n_10/ws_p_0.0_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_4/metrics.json
4,10,0.8,ws_p_0.1,1.03098,0.00677918,1.0177,1.04427,2.77259,-1.74161,false,false,scipy_anchored_t2,true,0.000233429,0.99995,0.0267346,1,1,0,2.813,1,1,0,1.049,n_10/ws_p_0.1_seed_4,artifacts/training_metrics_vector/grid_runs/n_10/q_0p8/seed_4/metrics.json
0,100,0.55,complete,0.147642,0.0166151,0.115077,0.180207,0.401341,-0.253699,false,false,scipy_anchored_t2,true,0.0352159,0.943953,0.635233,1,1,0,17.187,1,1,0,1.05,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.0,0.0604353,0.000199823,0.0600436,0.0608269,0.401341,-0.340906,false,false,scipy_anchored_t2,true,0.00143492,0.999792,0.135066,0.983,0.983,0,48.0173,1,1,0,1.049,n_100/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
0,100,0.55,ws_p_0.1,0.0651278,0.000198334,0.0647391,0.0655165,0.401341,-0.336214,false,false,scipy_anchored_t2,true,0.00134125,0.999817,0.0895408,0.98,0.98,0,47.1,1,1,0,1.05,n_100/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_0/metrics.json
1,100,0.55,complete,0.378473,0.0167708,0.345603,0.411343,0.401341,-0.0228688,false,false,scipy_anchored_t2,true,0.0126088,0.979231,0.896661,1,0.983,0.017,7.251,1,0.999,0.001,1.05,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.0,0.0672313,0.000185979,0.0668668,0.0675958,0.401341,-0.33411,false,false,scipy_anchored_t2,true,0.00121682,0.999847,0.154337,0.959,0.959,0,44.3785,1,1,0,1.05,n_100/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.1,0.066074,0.000157935,0.0657644,0.0663835,0.401341,-0.335267,false,false,scipy_anchored_t2,true,0.00105583,0.999886,0.193153,0.956,0.956,0,46.8776,1,1,0,1.05,n_100/ws_p_0.1_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_1/metrics.json
2,100,0.55,complete,0.148863,0.00820101,0.132789,0.164937,0.401341,-0.252478,false,false,scipy_anchored_t2,true,0.0215315,0.971457,1.79,0.997,0.995,0.002,17.656,1,0.996,0.004,1.053,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.0,0.0660901,0.000113313,0.065868,0.0663122,0.401341,-0.335251,false,false,scipy_anchored_t2,true,0.000781097,0.999942,0.102308,1,0.999,0.001,1,1,1,0,1,n_100/ws_p_0.0_seed_2,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.1,0.0619838,8.45166e-05,0.0618181,0.0621494,0.401341,-0.339358,false,false,scipy_anchored_t2,true,0.000608475,0.999964,0.113915,0.971,0.971,0,46.8599,1,1,0,1.053,n_100/ws_p_0.1_seed_2,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_2/metrics.json
3,100,0.55,complete,0.428055,0.0149295,0.398794,0.457316,0.401341,0.0267136,true,false,scipy_anchored_t2,true,0.00867606,0.987153,0.678674,1,0.949,0.051,8.322,1,1,0,1.046,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_3/metrics.json
3,100,0.55,ws_p_0.0,0.070198,0.000185883,0.0698337,0.0705623,0.401341,-0.331143,false,false,scipy_anchored_t2,true,0.00116079,0.999857,0.0947189,0.96,0.96,0,42.1375,1,1,0,1.049,n_100/ws_p_0.0_seed_3,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_3/metrics.json
3,100,0.55,ws_p_0.1,0.0631539,0.000190433,0.0627807,0.0635272,0.401341,-0.338187,false,false,scipy_anchored_t2,true,0.00133515,0.999823,0.0981931,0.973,0.973,0,48.1017,1,1,0,1.048,n_100/ws_p_0.1_seed_3,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_3/metrics.json
4,100,0.55,complete,0.13345,0.00769162,0.118374,0.148525,0.401341,-0.267892,false,false,scipy_anchored_t2,true,0.0197399,0.969446,0.658225,0.998,0.978,0.02,14.5812,1,0.993,0.007,1.051,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_4/metrics.json
4,100,0.55,ws_p_0.0,0.0621848,0.000115263,0.0619589,0.0624107,0.401341,-0.339157,false,false,scipy_anchored_t2,true,0.000845836,0.999934,0.0745845,0.978,0.978,0,47.6268,1,1,0,1.046,n_100/ws_p_0.0_seed_4,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_4/metrics.json
4,100,0.55,ws_p_0.1,0.0661184,0.000130351,0.0658629,0.0663739,0.401341,-0.335223,false,false,scipy_anchored_t2,true,0.00089441,0.999923,0.0648068,0.978,0.978,0,47.908,1,1,0,1.046,n_100/ws_p_0.1_seed_4,artifacts/training_metrics_vector/grid_runs/n_100/q_0p55/seed_4/metrics.json
0,100,0.65,complete,6.22127,0.149009,5.92922,6.51332,1.23808,4.98319,true,false,scipy_anchored_t2,true,5.93464e-06,0.999996,2.2568,1,1,0,2.136,1,1,0,1,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.0,0.405838,0.0022964,0.401338,0.410339,1.23808,-0.83224,false,false,scipy_anchored_t2,true,0.000826702,0.999852,0.0475442,1,1,0,9.629,1,1,0,1,n_100/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.1,0.423314,0.00205999,0.419276,0.427351,1.23808,-0.814765,false,false,scipy_anchored_t2,true,0.00072318,0.999873,0.0625832,1,1,0,9.586,1,1,0,1,n_100/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_0/metrics.json
1,100,0.65,complete,0.873024,0.0785831,0.719004,1.02704,1.23808,-0.365054,false,false,scipy_anchored_t2,true,0.000126512,0.932384,0.0129633,0.996,0.996,0,2.0743,1,1,0,1,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.0,0.396543,0.00455172,0.387622,0.405464,1.23808,-0.841535,false,false,scipy_anchored_t2,true,0.00175367,0.999329,0.0521443,1,1,0,9.783,1,1,0,1,n_100/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
1,100,0.65,ws_p_0.1,0.393273,0.00290415,0.387581,0.398965,1.23808,-0.844805,false,false,scipy_anchored_t2,true,0.00121418,0.999559,0.0492014,1,1,0,10.068,1,1,0,1,n_100/ws_p_0.1_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_1/metrics.json
2,100,0.65,complete,1.9035,0.0226033,1.8592,1.9478,1.23808,0.665424,true,false,scipy_anchored_t2,true,0.000408153,0.999455,0.0257556,1,0.998,0.002,3.317,1,1,0,1.001,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.0,0.40789,0.00213879,0.403698,0.412082,1.23808,-0.830188,false,false,scipy_anchored_t2,true,0.000828835,0.999818,0.0471139,1,1,0,9.594,1,1,0,1.001,n_100/ws_p_0.0_seed_2,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
2,100,0.65,ws_p_0.1,0.402635,0.00189913,0.398913,0.406357,1.23808,-0.835443,false,false,scipy_anchored_t2,true,0.000790496,0.999766,0.04372,1,1,0,10.077,1,1,0,1.001,n_100/ws_p_0.1_seed_2,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_2/metrics.json
3,100,0.65,complete,5.16584,0.149019,4.87377,5.45791,1.23808,3.92776,true,false,scipy_anchored_t2,true,2.61767e-06,0.999967,0.0111736,1,1,0,2.018,1,1,0,1.001,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
3,100,0.65,ws_p_0.0,0.385627,0.00383427,0.378112,0.393142,1.23808,-0.852451,false,false,scipy_anchored_t2,true,0.00153752,0.999446,0.0438829,1,1,0,9.857,1,1,0,1.001,n_100/ws_p_0.0_seed_3,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
3,100,0.65,ws_p_0.1,0.398165,0.000958567,0.396286,0.400044,1.23808,-0.839914,false,false,scipy_anchored_t2,true,0.000391146,0.99995,0.0375144,1,1,0,10.323,1,1,0,1.001,n_100/ws_p_0.1_seed_3,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_3/metrics.json
4,100,0.65,complete,4.91947,1.01029,2.93934,6.8996,1.23808,3.68139,true,false,scipy_anchored_t2,true,0.000122957,0.997503,0.498077,1,0.999,0.001,2.127,1,1,0,1.001,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
4,100,0.65,ws_p_0.0,0.380374,0.00321899,0.374065,0.386683,1.23808,-0.857705,false,false,scipy_anchored_t2,true,0.00132679,0.999635,0.0329967,1,1,0,9.715,1,1,0,1.001,n_100/ws_p_0.0_seed_4,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
4,100,0.65,ws_p_0.1,0.392449,0.00161026,0.389292,0.395605,1.23808,-0.84563,false,false,scipy_anchored_t2,true,0.000669215,0.999868,0.0248544,1,1,0,10.341,1,1,0,1.001,n_100/ws_p_0.1_seed_4,artifacts/training_metrics_vector/grid_runs/n_100/q_0p65/seed_4/metrics.json
0,100,0.8,complete,2.63924,0.14871,2.34778,2.93071,2.77259,-0.133347,false,false,scipy_anchored_t2,true,2.14281e-06,0.994792,0.0133313,1,1,0,2.003,1,1,0,1,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.0,1.22961,0.0185958,1.19317,1.26606,2.77259,-1.54298,false,false,scipy_anchored_t2,true,0.000335682,0.999913,0.0223283,1,1,0,4.334,1,1,0,1,n_100/ws_p_0.0_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
0,100,0.8,ws_p_0.1,1.16556,0.0045294,1.15668,1.17444,2.77259,-1.60703,false,false,scipy_anchored_t2,true,0.00012705,0.999979,0.0242188,1,1,0,4.615,1,1,0,1,n_100/ws_p_0.1_seed_0,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_0/metrics.json
1,100,0.8,complete,2.65775,0.148789,2.36612,2.94937,2.77259,-0.114843,false,false,scipy_anchored_t2,true,3.50549e-06,0.994982,0.0161335,1,1,0,2.007,1,1,0,1,n_100/complete,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.0,1.18446,0.0026781,1.17921,1.18971,2.77259,-1.58813,false,false,scipy_anchored_t2,true,7.10594e-05,0.999995,0.0179922,1,1,0,4.443,1,1,0,1,n_100/ws_p_0.0_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
1,100,0.8,ws_p_0.1,1.20381,0.00291366,1.1981,1.20952,2.77259,-1.56877,false,false,scipy_anchored_t2,true,7.3368e-05,0.999994,0.0204368,1,1,0,4.477,1,1,0,1,n_100/ws_p_0.1_seed_1,artifacts/training_metrics_vector/grid_runs/n_100/q_0p8/seed_1/metrics.json
