seed,num_nodes,signal_quality,topology,beta_gat,beta_gat_se,beta_gat_ci_lower,beta_gat_ci_upper,beta_hst_max,beta_gap,exceeds_hst_bound,convergence_warning,fit_method,fit_success,fit_rmse,fit_r2,train_loss_final,unanimous_reach_consensus_rate,unanimous_correct_consensus_rate,unanimous_wrong_only_consensus_rate,unanimous_mean_first_consensus_t,majority_reach_consensus_rate,majority_correct_consensus_rate,majority_wrong_only_consensus_rate,majority_mean_first_consensus_t,condition_key,metrics_path
1,100,0.55,complete,0.331657,0.00823206,0.315522,0.347791,0.401341,-0.0696845,false,false,scipy_anchored_t2,true,0.00561839,0.993351,0.537671,1,0.978,0.022,10.44,1,0.981,0.019,1.054,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.0,0.0350529,0.000186373,0.0346876,0.0354182,0.401341,-0.366288,false,false,scipy_anchored_t2,true,0.0019337,0.999664,0.274706,0.674,0.674,0,71.8323,1,1,0,1.052,n_100/ws_p_0.0_seed_1,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
1,100,0.55,ws_p_0.1,0.043407,0.00025515,0.0429069,0.0439071,0.401341,-0.357934,false,false,scipy_anchored_t2,true,0.0023679,0.999484,0.229893,0.715,0.715,0,68.2657,1,1,0,1.05,n_100/ws_p_0.1_seed_1,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_1/metrics.json
2,100,0.55,complete,0.176043,0.00468303,0.166864,0.185222,0.401341,-0.225298,false,false,scipy_anchored_t2,true,0.00795495,0.992717,0.921932,0.994,0.985,0.009,17.0533,1,0.993,0.007,1.053,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.0,0.0350043,0.000230238,0.034553,0.0354555,0.401341,-0.366337,false,false,scipy_anchored_t2,true,0.00252581,0.99949,0.230341,0.718,0.718,0,67.0348,1,1,0,1.053,n_100/ws_p_0.0_seed_2,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
2,100,0.55,ws_p_0.1,0.0272259,0.000104189,0.0270217,0.0274301,0.401341,-0.374115,false,false,scipy_anchored_t2,true,0.00119843,0.999875,0.293379,0.406,0.406,0,70.8128,1,1,0,1.059,n_100/ws_p_0.1_seed_2,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_2/metrics.json
3,100,0.55,complete,0.226222,0.00843165,0.209696,0.242748,0.401341,-0.175119,false,false,scipy_anchored_t2,true,0.0104675,0.98528,0.0692923,1,0.966,0.034,14.474,1,0.993,0.007,1.051,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_3/metrics.json
3,100,0.55,ws_p_0.0,0.0375729,0.000232934,0.0371163,0.0380294,0.401341,-0.363769,false,false,scipy_anchored_t2,true,0.00232543,0.999505,0.215714,0.708,0.708,0,64.8644,1,1,0,1.048,n_100/ws_p_0.0_seed_3,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_3/metrics.json
3,100,0.55,ws_p_0.1,0.0455108,0.00109359,0.0433674,0.0476542,0.401341,-0.355831,false,false,scipy_anchored_t2,true,0.0103517,0.991078,0.17046,1,0.735,0.265,1,1,1,0,1,n_100/ws_p_0.1_seed_3,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_3/metrics.json
4,100,0.55,complete,0.171339,0.0071151,0.157393,0.185284,0.401341,-0.230003,false,false,scipy_anchored_t2,true,0.0132034,0.982541,0.233518,0.997,0.997,0,18.1324,1,1,0,1.046,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_4/metrics.json
4,100,0.55,ws_p_0.0,0.0297262,0.000339275,0.0290613,0.0303912,0.401341,-0.371615,false,false,scipy_anchored_t2,true,0.00356111,0.998746,0.13323,0.33,0.33,0,82.1879,1,1,0,1.048,n_100/ws_p_0.0_seed_4,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_4/metrics.json
4,100,0.55,ws_p_0.1,0.0297098,0.000388386,0.0289486,0.0304711,0.401341,-0.371632,false,false,scipy_anchored_t2,true,0.00400802,0.998357,0.141049,0.23,0.23,0,80.4478,1,1,0,1.051,n_100/ws_p_0.1_seed_4,artifacts/training_metrics_fair/grid_runs/n_100/q_0p55/seed_4/metrics.json
0,100,0.65,complete,4.17692,0.00228688,4.17244,4.18141,1.23808,2.93885,true,false,scipy_anchored_t2,true,1.14029e-06,1,0.0213524,1,1,0,2.216,1,1,0,1,n_100/complete,artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.0,0.251814,0.00113991,0.24958,0.254048,1.23808,-0.986265,false,false,scipy_anchored_t2,true,0.000829814,0.99981,0.0588795,1,1,0,14.982,1,1,0,1,n_100/ws_p_0.0_seed_0,artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
0,100,0.65,ws_p_0.1,0.246511,0.000752919,0.245035,0.247986,1.23808,-0.991568,false,false,scipy_anchored_t2,true,0.000578069,0.999899,0.0583778,0.997,0.997,0,15.8726,1,1,0,1,n_100/ws_p_0.1_seed_0,artifacts/training_metrics_fair/grid_runs/n_100/q_0p65/seed_0/metrics.json
